AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Serie A,2014,Primera Division,LW,Tier_1,Tier_1,U25,Below1M,75to84,65to74,SA
Serie A,2016,Serie A,LW,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2014,Ligue 1,CM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2017,Serie A,CM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2014,Other,CF,Tier_1,Tier_4,U21,10Mto1M,85above,65to74,SA
Primera Division,2015,Primera Division,CF,Tier_1,Tier_1,U21,40Mto10M,85above,65to74,SA
Liga Nos,2019,Primera Division,CF,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,SA
Primera Division,2014,Other,LW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,SA
Serie A,2016,Ligue 1,LW,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,SA
Premier League,2014,Other,CDM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,SA
Serie A,2017,Premier League,CDM,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,SA
Primera Division,2014,Other,RW,Tier_1,Tier_4,U21,10Mto1M,85above,65to74,SA
Serie A,2014,Other,CB,Tier_2,Tier_4,U30,Below1M,65to74,65to74,SA
Serie A,2016,Serie A,CB,Tier_1,Tier_2,A30,Below1M,75to84,65to74,SA
Serie A,2014,Other,LB,Tier_2,Tier_4,U25,10Mto1M,75to84,75to84,SA
Primera Division,2014,Other,LB,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2014,Other,CB,Tier_1,Tier_4,U30,10Mto1M,65to74,65to74,SA
Serie A,2014,Serie A,CM,Tier_3,Tier_3,A30,10Mto1M,65to74,65to74,SA
Primera Division,2014,Primera Division,GK,Tier_1,Tier_4,U30,Below1M,65to74,65to74,SA
Premier League,2014,Other,CAM,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Ligue 1,2015,Other,CF,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Premier League,2017,Ligue 1,CF,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,SA
Premier League,2015,Other,CB,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Ligue 1,2015,Ligue 1,CF,Tier_3,Tier_2,U25,Below1M,65to74,65to74,SA
Premier League,2018,Ligue 1,CF,Tier_3,Tier_3,U30,40Mto10M,75to84,75to84,SA
Ligue 1,2015,Ligue 1,LW,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,SA
Primera Division,2019,Ligue 1,LW,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,SA
Primera Division,2015,Other,CM,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,SA
Serie A,2015,Primera Division,CM,Tier_2,Tier_3,U21,10Mto1M,75to84,65to74,SA
Premier League,2015,Other,CB,Tier_1,Tier_4,U25,40Mto10M,75to84,65to74,SA
Primera Division,2018,Premier League,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2015,Other,CDM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Premier Liga,2017,Primera Division,CDM,Tier_1,Tier_1,U25,10Mto1M,85above,75to84,SA
Primera Division,2015,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2018,Primera Division,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,SA
Primera Division,2015,Other,CF,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,SA
